annotation_id,view_name,view_type,category,annotation_type,value,x,y,extra,target_element_ids
127,Elevation C,Elevation,Dimensions,Linear Dimension Style,1440.00,0.0,0.0,Linear Dimension Style,12002800|12002801
128,Elevation C,Elevation,Dimensions,Linear Dimension Style,4069.63,0.0,0.0,Linear Dimension Style,12002799|12002805
129,Elevation C,Elevation,Dimensions,Linear Dimension Style,1180.00,0.0,0.0,Linear Dimension Style,12002805|12002805
130,Elevation C,Elevation,Dimensions,Linear Dimension Style,20.15,0.0,0.0,Linear Dimension Style,12002806|12002788
131,Elevation C,Elevation,Dimensions,Linear Dimension Style,21.14,0.0,0.0,Linear Dimension Style,12002789|12002795
132,Elevation C,Elevation,Dimensions,Linear Dimension Style,27.37,0.0,0.0,Linear Dimension Style,12002795|12002800
133,Elevation C,Elevation,Dimensions,Linear Dimension Style,50.14,0.0,0.0,Linear Dimension Style,12002788|12002782
134,Elevation C,Elevation,Dimensions,Linear Dimension Style,440.00,0.0,0.0,Linear Dimension Style,12002806|12002806
135,Elevation C,Elevation,Dimensions,Linear Dimension Style,426.68,0.0,0.0,Linear Dimension Style,12002789|12002787
136,Elevation C,Elevation,Dimensions,Linear Dimension Style,415.00,0.0,0.0,Linear Dimension Style,12002801|12002799
137,Elevation C,Elevation,Dimensions,Linear Dimension Style,450.00,0.0,0.0,Linear Dimension Style,12002795|12002796
138,Elevation C,Elevation,Dimensions,Linear Dimension Style,450.00,0.0,0.0,Linear Dimension Style,12002783|12002781
139,Elevation C,Elevation,Dimensions,Linear Dimension Style,2144.68,0.0,0.0,Linear Dimension Style,11974407|11974408
140,Elevation C,Elevation,Dimensions,Linear Dimension Style,615.97,0.0,0.0,Linear Dimension Style,11974407|11974407
141,Elevation D,Elevation,Dimensions,Linear Dimension Style,2317.61,0.0,0.0,Linear Dimension Style,11974368|11974369
142,Elevation D,Elevation,Dimensions,Linear Dimension Style,758.88,0.0,0.0,Linear Dimension Style,11974368|11974368
143,Elevation D,Elevation,Dimensions,Linear Dimension Style,1180.00,0.0,0.0,Linear Dimension Style,12004839|12004840
144,Elevation D,Elevation,Dimensions,Linear Dimension Style,2089.36,0.0,0.0,Linear Dimension Style,12004838|12004844
145,Elevation D,Elevation,Dimensions,Linear Dimension Style,1100.00,0.0,0.0,Linear Dimension Style,12004844|12004844
146,Elevation D,Elevation,Dimensions,Linear Dimension Style,1545.57,0.0,0.0,Linear Dimension Style,12004844|12004850
147,Elevation D,Elevation,Dimensions,Linear Dimension Style,980.00,0.0,0.0,Linear Dimension Style,12004850|12004850
148,Elevation D,Elevation,Dimensions,Linear Dimension Style,429.11,0.0,0.0,Linear Dimension Style,12004852|12004858
149,Elevation D,Elevation,Dimensions,Linear Dimension Style,920.00,0.0,0.0,Linear Dimension Style,12004857|12004858
150,Elevation D,Elevation,Dimensions,Linear Dimension Style,1124.05,0.0,0.0,Linear Dimension Style,12004856|12004862
151,Elevation D,Elevation,Dimensions,Linear Dimension Style,920.00,0.0,0.0,Linear Dimension Style,12004862|12004862
152,Elevation D,Elevation,Dimensions,Linear Dimension Style,36.71,0.0,0.0,Linear Dimension Style,12004845|12004840
153,Elevation D,Elevation,Dimensions,Linear Dimension Style,67.85,0.0,0.0,Linear Dimension Style,12004846|12004865
154,Elevation D,Elevation,Dimensions,Linear Dimension Style,73.42,0.0,0.0,Linear Dimension Style,12004846|12004852
155,Elevation D,Elevation,Dimensions,Linear Dimension Style,28.86,0.0,0.0,Linear Dimension Style,12004863|12004858
156,Elevation D,Elevation,Dimensions,Linear Dimension Style,500.00,0.0,0.0,Linear Dimension Style,12004845|12004845
157,Elevation D,Elevation,Dimensions,Linear Dimension Style,420.00,0.0,0.0,Linear Dimension Style,12004858|12004856
158,Elevation D,Elevation,Dimensions,Linear Dimension Style,480.00,0.0,0.0,Linear Dimension Style,12004840|12004841
159,Elevation D,Elevation,Dimensions,Linear Dimension Style,460.00,0.0,0.0,Linear Dimension Style,12004864|12004862
160,Elevation D,Elevation,Dimensions,Linear Dimension Style,16.71,0.0,0.0,Linear Dimension Style,12004856|12004850
161,Elevation D,Elevation,Dimensions,Linear Dimension Style,400.00,0.0,0.0,Linear Dimension Style,12004891|12004892
162,Elevation D,Elevation,Dimensions,Linear Dimension Style,1800.00,0.0,0.0,Linear Dimension Style,12004891|12004891
163,Elevation D,Elevation,Dimensions,WH_Arial_2.5mm_Transparent,,0.0,0.0,WH_Arial_2.5mm_Transparent,11823179|11709508|11891873
164,Elevation B,Elevation,Dimensions,Linear Dimension Style,447.70,0.0,0.0,Linear Dimension Style,12005444|12005445
165,Elevation B,Elevation,Dimensions,Linear Dimension Style,1837.97,0.0,0.0,Linear Dimension Style,12005444|12005444
166,Elevation B,Elevation,Dimensions,Linear Dimension Style,1440.00,0.0,0.0,Linear Dimension Style,12005458|12005459
167,Elevation B,Elevation,Dimensions,Linear Dimension Style,1002.96,0.0,0.0,Linear Dimension Style,12005459|12005465
168,Elevation B,Elevation,Dimensions,Linear Dimension Style,1180.00,0.0,0.0,Linear Dimension Style,12005464|12005465
169,Elevation B,Elevation,Dimensions,Linear Dimension Style,871.72,0.0,0.0,Linear Dimension Style,12005465|12005475
170,Elevation B,Elevation,Dimensions,Linear Dimension Style,860.00,0.0,0.0,Linear Dimension Style,12005474|12005475
171,Elevation B,Elevation,Dimensions,Linear Dimension Style,20.00,0.0,0.0,Linear Dimension Style,12005459|12005475
172,Elevation B,Elevation,Dimensions,Linear Dimension Style,28.99,0.0,0.0,Linear Dimension Style,12005474|12005466
173,Elevation B,Elevation,Dimensions,Linear Dimension Style,380.00,0.0,0.0,Linear Dimension Style,12005465|12005463
174,Elevation B,Elevation,Dimensions,Linear Dimension Style,420.00,0.0,0.0,Linear Dimension Style,12005474|12005473
